City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
79,Teguldet,RU,57.3064,88.1667,51.93,97,100,9.95,overcast clouds
80,Kirakira,SB,-10.4544,161.9205,83.68,74,37,10.2,scattered clouds
81,Lindi,TZ,-10.0,39.7167,64.65,96,10,5.1,clear sky
82,Broken Hill,AU,-31.95,141.4333,53.22,43,5,10.49,clear sky
83,Flinders,AU,-34.5833,150.8552,58.17,46,1,10.0,clear sky
84,Luderitz,NA,-26.6481,15.1594,61.59,55,2,7.09,clear sky
85,Kottayam,IN,9.5833,76.5167,76.05,97,99,3.22,light rain
86,Astrea,CO,9.4983,-73.9759,75.2,96,53,4.99,broken clouds
87,Victoria,HK,22.2855,114.1577,90.97,83,100,11.01,overcast clouds
88,Ponta Do Sol,PT,32.6667,-17.1,72.01,81,15,4.65,few clouds
89,Khuzhir,RU,53.1939,107.3397,52.83,84,48,8.86,scattered clouds
90,Diu,IN,20.7141,70.9822,80.53,83,86,15.19,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,48.52,90,100,7.0,overcast clouds
92,Rikitea,PF,-23.1203,-134.9692,73.22,81,97,13.87,moderate rain
93,Faya,SA,18.3851,42.4509,64.51,30,61,5.77,broken clouds
94,Hasaki,JP,35.7333,140.8333,82.8,79,100,2.66,moderate rain
95,Muros,ES,42.7762,-9.0603,70.16,94,99,3.89,overcast clouds
96,Kasongo-Lunda,CD,-6.4667,16.8167,73.24,55,88,2.24,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,40,12.66,scattered clouds
98,Nanortalik,GL,60.1432,-45.2371,41.52,93,43,9.55,scattered clouds
99,Souillac,MU,-20.5167,57.5167,68.38,77,40,12.66,scattered clouds
100,Bluff,NZ,-46.6,168.3333,55.8,74,100,22.64,overcast clouds
101,Marystown,CA,47.1666,-55.1483,60.85,100,99,5.01,overcast clouds
102,Suntar,RU,62.1444,117.6319,67.82,61,82,5.46,broken clouds
103,Nikolskoye,RU,59.7035,30.7861,53.49,98,98,5.01,overcast clouds
104,Lagos,NG,6.5833,3.75,77.32,92,79,4.54,broken clouds
105,Lieksa,FI,63.3167,30.0167,52.27,89,49,4.38,scattered clouds
106,Shache,CN,38.4167,77.2406,84.45,16,0,2.46,clear sky
107,Khatanga,RU,71.9667,102.5,60.66,56,100,3.76,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,66.72,77,75,0.0,light intensity shower rain
109,San Patricio,US,28.017,-97.5169,87.66,70,36,13.04,scattered clouds
110,Prince Rupert,CA,54.3161,-130.3201,59.09,78,100,3.44,overcast clouds
111,Dossor,KZ,47.5272,52.9811,88.36,23,3,17.67,clear sky
112,Ilulissat,GL,69.2167,-51.1,53.62,50,18,3.44,few clouds
113,Kruisfontein,ZA,-34.0033,24.7314,58.89,64,1,4.07,clear sky
114,Colquechaca,BO,-18.6667,-66.0167,29.62,80,61,3.2,broken clouds
115,Oussouye,SN,12.485,-16.5469,79.43,81,100,8.97,overcast clouds
116,Port Hardy,CA,50.6996,-127.4199,60.98,72,40,11.5,scattered clouds
117,Bredasdorp,ZA,-34.5322,20.0403,51.55,88,1,4.03,clear sky
118,Lobito,AO,-12.3481,13.5456,67.05,89,11,4.18,few clouds
119,Vila Velha,BR,-20.3297,-40.2925,73.35,87,0,5.75,clear sky
120,Ribeira Grande,PT,38.5167,-28.7,71.53,93,0,5.57,clear sky
121,Mahebourg,MU,-20.4081,57.7,69.26,77,40,12.66,scattered clouds
122,Maceio,BR,-9.6658,-35.7353,72.84,88,20,2.3,few clouds
123,Qaanaaq,GL,77.484,-69.3632,44.15,66,92,2.53,overcast clouds
124,Zhezkazgan,KZ,47.8043,67.7144,71.58,53,0,4.47,clear sky
125,Port Augusta,AU,-32.5,137.7667,56.75,54,13,5.21,few clouds
126,Parnamirim,BR,-5.9156,-35.2628,73.29,94,0,5.75,clear sky
127,Hithadhoo,MV,-0.6,73.0833,82.67,71,100,14.14,moderate rain
128,Makinsk,KZ,52.6292,70.4169,60.44,80,100,2.51,overcast clouds
129,Ust-Shonosha,RU,61.1531,41.343,52.74,88,100,2.77,overcast clouds
130,Kapaa,US,22.0752,-159.319,84.52,77,75,13.8,broken clouds
131,Tirthahalli,IN,13.7,75.2333,69.96,94,100,7.94,moderate rain
132,Saldanha,ZA,-33.0117,17.9442,50.05,93,0,7.72,clear sky
133,Upernavik,GL,72.7868,-56.1549,39.96,93,53,10.54,broken clouds
134,Cape Town,ZA,-33.9258,18.4232,59.88,89,75,10.36,broken clouds
135,Vanimo,PG,-2.6741,141.3028,85.23,64,100,2.86,overcast clouds
136,Kavieng,PG,-2.5744,150.7967,84.47,74,100,15.32,light rain
137,Salgueiro,BR,-8.0742,-39.1192,67.37,81,22,16.11,few clouds
138,Tiznit,MA,29.5833,-9.5,75.0,58,2,1.43,clear sky
139,Tyler,US,32.3513,-95.3011,95.05,43,0,8.05,clear sky
140,Mackay,AU,-21.15,149.2,76.68,68,0,12.01,clear sky
141,Kodiak,US,57.79,-152.4072,60.31,63,100,5.75,overcast clouds
142,Vaini,TO,-21.2,-175.2,78.96,89,40,9.22,scattered clouds
143,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.73,34,1,6.08,clear sky
144,Latung,PH,5.5,120.8833,80.29,73,100,1.86,overcast clouds
145,Narsaq,GL,60.9167,-46.05,52.02,82,69,0.67,broken clouds
146,Hovd,MN,48.0056,91.6419,74.66,28,15,9.69,few clouds
147,Pascagoula,US,30.3658,-88.5561,84.25,83,0,3.44,clear sky
148,Thompson,CA,55.7435,-97.8558,73.56,56,75,11.5,broken clouds
149,Gorodishche,RU,48.8045,44.4744,70.68,68,0,6.71,clear sky
150,Murgab,TM,37.4966,61.9714,73.27,40,0,5.32,clear sky
151,Kaitangata,NZ,-46.2817,169.8464,58.87,55,99,12.17,overcast clouds
152,Ewa Beach,US,21.3156,-158.0072,87.75,65,75,17.27,light intensity drizzle
153,Ardmore,US,34.1743,-97.1436,98.02,33,0,8.05,clear sky
154,Nanyuki,KE,0.0167,37.0728,53.71,89,78,9.95,broken clouds
155,Eregli,TR,37.5133,34.0467,64.09,66,0,5.55,clear sky
156,Aklavik,CA,68.2191,-135.0107,73.94,39,100,9.93,overcast clouds
157,Mazyr,BY,52.0495,29.2456,49.01,96,37,6.82,scattered clouds
158,Nuuk,GL,64.1835,-51.7216,45.21,87,75,18.41,broken clouds
159,Homer,US,59.6425,-151.5483,60.67,74,75,13.8,broken clouds
160,Sungai Padi,TH,6.0851,101.8766,80.38,80,99,1.77,overcast clouds
161,Lata,PT,40.1629,-8.3327,61.88,90,90,1.45,overcast clouds
162,Salalah,OM,17.0151,54.0924,77.09,94,100,6.91,overcast clouds
163,Isugod,PH,9.3408,118.1196,82.38,77,100,3.49,overcast clouds
164,Felipe Carrillo Puerto,MX,19.5833,-88.05,78.44,75,42,4.74,scattered clouds
165,Lixourion,GR,38.2019,20.4314,77.38,66,0,1.12,clear sky
166,Mar Del Plata,AR,-38.0023,-57.5575,53.1,53,0,13.8,clear sky
167,Raga,SS,8.4596,25.678,68.65,97,100,3.96,overcast clouds
168,Qasigiannguit,GL,68.8193,-51.1922,53.85,76,54,7.29,broken clouds
169,Pimentel,PE,-6.8367,-79.9342,62.56,86,35,12.73,scattered clouds
170,Hami,CN,42.8,93.45,87.35,19,90,7.14,overcast clouds
171,Lewistown,US,40.5992,-77.5714,72.18,100,100,0.0,light rain
172,Makakilo City,US,21.3469,-158.0858,86.32,65,75,17.27,light intensity drizzle
173,Klaksvik,FO,62.2266,-6.589,52.72,86,63,19.73,broken clouds
174,Honiara,SB,-9.4333,159.95,88.75,51,10,9.1,clear sky
175,Ketchikan,US,55.3422,-131.6461,55.87,94,100,10.36,mist
176,Beloha,MG,-25.1667,45.05,62.33,81,0,10.07,clear sky
